English,Persian,Context,File
This will recalculate prices for all inventory items based on current gold rates and pricing rules.,با این کار قیمت تمام اقلام موجودی بر اساس نرخ فعلی طلا و قوانین قیمت گذاری دوباره محاسبه می شود.,,templates/pricing/dashboard.html:167
The quantities in this receipt do not match the purchase order. Please review the items before completing.,مقادیر موجود در این رسید با سفارش خرید مطابقت ندارد. لطفا قبل از تکمیل موارد را بررسی کنید.,,templates/procurement/goods_receipt_complete.html:39
This receipt has discrepancies. Completing it will still update inventory with accepted quantities only.,این رسید دارای مغایرت هایی است. تکمیل آن همچنان موجودی را فقط با مقادیر پذیرفته شده به روز می کند.,,templates/procurement/goods_receipt_complete.html:48
This action cannot be undone. Make sure all information is correct before proceeding.,این عمل قابل بازگشت نیست. قبل از ادامه، مطمئن شوید که همه اطلاعات صحیح هستند.,,templates/procurement/goods_receipt_complete.html:186
Tax ID:,شناسه مالیاتی:,,templates/procurement/supplier_detail.html:81
Follow-up Required,پیگیری لازم است,,templates/procurement/supplier_detail.html:157
Uploaded,آپلود شد,,templates/procurement/supplier_detail.html:189
Expired,منقضی شده است,,templates/procurement/supplier_detail.html:202
Expires Soon,به زودی منقضی می شود,,templates/procurement/supplier_detail.html:206
Valid,معتبر است,,templates/procurement/supplier_detail.html:210
No documents uploaded yet.,هنوز هیچ سندی آپلود نشده است.,,templates/procurement/supplier_detail.html:221
Pending Follow-ups,پیگیری های در انتظار,,templates/procurement/supplier_detail.html:243
Expiring Docs,اسناد در حال انقضا,,templates/procurement/supplier_detail.html:247
Upload Document,بارگذاری سند,,templates/procurement/supplier_detail.html:281
Running,در حال دویدن,,templates/reporting/execution_detail.html:31
Run Again,دوباره اجرا کن,,templates/reporting/execution_detail.html:68
Rows,ردیف ها,,templates/reporting/execution_detail.html:84
File Size,اندازه فایل,,templates/reporting/execution_detail.html:104
Trigger Type,نوع ماشه,,templates/reporting/execution_detail.html:191
Manual,دستی,,templates/reporting/execution_detail.html:198
API,API,,templates/reporting/execution_detail.html:212
Task ID,شناسه وظیفه,,templates/reporting/execution_detail.html:239
Download,دانلود کنید,,templates/reporting/report_detail.html:162
Are you sure you want to delete this report? All execution history and schedules will also be deleted. This action cannot be undone.,آیا مطمئن هستید که می خواهید این گزارش را حذف کنید؟ تمام تاریخچه اجرا و زمان‌بندی‌ها نیز حذف خواهند شد. این عمل قابل بازگشت نیست.,,templates/reporting/report_detail.html:291
"Leave empty to download directly, or enter email addresses to send the report via email",برای دانلود مستقیم آن را خالی بگذارید یا آدرس های ایمیل را برای ارسال گزارش از طریق ایمیل وارد کنید,,templates/reporting/report_execute.html:210
"If email recipients are specified, the report will be sent automatically",اگر گیرندگان ایمیل مشخص شده باشند، گزارش به صورت خودکار ارسال خواهد شد,,templates/reporting/report_execute.html:245
Select one or more output formats for this report,یک یا چند فرمت خروجی را برای این گزارش انتخاب کنید,,templates/reporting/report_form.html:107
Query Configuration (JSON),پیکربندی پرس و جو (JSON),,templates/reporting/report_form.html:120
Save & Continue Editing,ذخیره و ادامه ویرایش,,templates/reporting/report_form.html:200
Invalid JSON format,قالب JSON نامعتبر است,,templates/reporting/report_form.html:227
"Search product name, SKU, or scan barcode",نام محصول، SKU یا اسکن بارکد را جستجو کنید,,templates/sales/pos_interface.html:452
Download PDF,PDF را دانلود کنید,,templates/sales/sale_detail.html:46
Employee,کارمند,,templates/sales/sale_detail.html:202
"Note: You can only edit customer, payment method, discount, and notes. To change items, you must void this sale and create a new one.",توجه: فقط می توانید مشتری، روش پرداخت، تخفیف و یادداشت ها را ویرایش کنید. برای تغییر موارد، باید این فروش را لغو کنید و یک مورد جدید ایجاد کنید.,,templates/sales/sale_edit.html:69
Search customer by name or phone...,جستجوی مشتری با نام یا تلفن...,,templates/sales/sale_edit.html:83
Fixed Amount,مبلغ ثابت,,templates/sales/sale_edit.html:124
Percentage,درصد,,templates/sales/sale_edit.html:127
Add any notes about this sale...,هر گونه یادداشتی در مورد این فروش اضافه کنید...,,templates/sales/sale_edit.html:158
Try adjusting your filters or create a new sale.,سعی کنید فیلترهای خود را تنظیم کنید یا یک فروش جدید ایجاد کنید.,,templates/sales/sale_list.html:198
You have %(count)d item.,شما %(count)d مورد دارید.,,"tests/test_translation_infrastructure.py:122, tests/test_translation_infrastructure.py:130"
